node,in_degree,out_degree,degree_ratio,total_in_amount,total_out_amount,net_flow,flow_ratio,avg_in_amount,avg_out_amount,std_in_amount,std_out_amount,pagerank,betweenness,clustering_coeff,in_cycle,cycle_length,community_id,community_size,community_fraud_density,burst_in_2h,burst_out_2h,same_day_pass_through,fan_in_score,fan_out_score,is_fraud_node,predicted_fraud,fraud_probability,flag_cycle_ring,flag_fan_mule,flag_burst_passthrough,flag_risky_community,rule_based_risk_score,rule_based_flag,sample_pattern
U000471,2,5,0.5,3252.21,4784.84,-1532.63,0.6797573675676579,1626.105,956.9680000000001,1484.295,700.2155460542133,0.00011557338039282737,0.0003200119867991168,0.0,1,5,44,41,0.0,1,1,2,0.4,2.5,0,0,0.0010680107961643466,1,0,0,0,1,0,legit
U000359,7,5,1.3333333333333333,24532.73,2381.55,22151.18,10.29725714045875,3504.675714285714,476.31000000000006,7215.843930215266,470.8619299964693,0.0010130143447558441,0.004863698714361236,0.01818181818181818,1,2,48,29,0.0,1,1,5,1.4,0.7142857142857143,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U001347,8,11,0.75,9193.06,35502.04,-26308.980000000003,0.2589654294392818,1149.1325,3227.458181818182,1415.1280167333803,7062.369990396371,0.0002405969712178742,0.008396769891691873,0.011695906432748537,1,4,3,37,0.0,2,1,7,0.7272727272727273,1.375,0,0,0.004610812450609876,1,0,0,0,1,0,legit
U001761,6,2,2.3333333333333335,3612.64,6232.299999999999,-2619.6599999999994,0.5797314424141305,602.1066666666667,3116.1499999999996,734.9080625190852,2792.6699999999996,0.00023154519088892806,0.0009893755563316496,0.0,1,6,44,41,0.0,1,1,2,3.0,0.3333333333333333,0,0,0.0028526375166970644,1,0,0,0,1,0,legit
U001420,8,7,1.125,9504.82,5924.05,3580.7699999999995,1.604344267136986,1188.1025,846.2928571428571,1566.4405166950162,944.8619046447897,0.0003240502771585,0.003526875918459582,0.009523809523809525,1,5,74,59,0.0,1,1,7,1.1428571428571428,0.875,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U000955,4,5,0.8333333333333334,6434.099999999999,3797.2000000000003,2636.899999999999,1.694249907851087,1608.525,759.4399999999999,1519.7828689733938,533.1416666140436,0.00022618088823881524,0.0019143705814901588,0.0,1,6,13,64,0.0,1,1,4,0.8,1.25,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U001004,5,9,0.6,1150.3,7579.32,-6429.0199999999995,0.15188013170947928,230.06,842.1466666666666,158.63269019971892,1326.43765566104,0.00027928773174782,0.004283677417083187,0.0,1,4,36,31,0.0,1,1,5,0.5555555555555556,1.8,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U001608,5,8,0.6666666666666666,3582.4500000000003,3260.69,321.7600000000002,1.09864824676778,716.49,407.58624999999995,925.2474834983342,247.32228710417002,0.0003377560353728218,0.0030634631910530377,0.0,1,5,13,64,0.0,1,1,5,0.625,1.6,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U001518,7,9,0.8,7487.28,4143.28,3344.0,1.8068952869979829,1069.6114285714286,460.36444444444453,1477.45840629323,749.2662387683198,0.00167859607432838,0.02071857639690163,0.0,1,2,70,21,0.0,1,1,7,0.7777777777777778,1.2857142857142858,0,0,0.003155702345149548,1,0,0,0,1,0,legit
U001322,7,3,2.0,10918.36,3907.3700000000003,7010.99,2.79383988721641,1559.7657142857145,1302.4566666666667,1681.84035663196,979.9812778597128,0.0006900553000755918,0.0027621629069581348,0.022222222222222223,1,4,22,45,0.0,1,1,3,2.3333333333333335,0.42857142857142855,0,0,0.0008858197235404718,1,0,0,0,1,0,legit
U001932,5,5,1.0,2279.0299999999997,1544.68,734.3499999999997,1.4750983385953105,455.8059999999999,308.936,377.2745615914224,282.5814581036767,0.0003680781841491652,0.001988199920940789,0.0,1,2,21,28,0.0,1,1,5,1.0,1.0,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U000456,5,5,1.0,2917.4700000000003,7176.61,-4259.139999999999,0.40660749190886664,583.494,1435.322,515.405282417633,1605.5664322026664,0.00045573569015541836,0.0010797524676993606,0.0,1,5,35,41,0.0,1,1,5,1.0,1.0,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U001709,11,2,4.0,41732.12,134.26999999999998,41597.850000000006,308.5171878465292,3793.829090909092,67.13499999999999,10197.596344870557,26.744999999999997,0.0004433708428839829,0.0010881551043089752,0.02564102564102564,1,5,35,41,0.0,1,1,2,5.5,0.18181818181818182,0,0,0.004989468813177968,1,0,0,0,1,0,legit
U000657,3,3,1.0,4283.88,806.93,3476.9500000000003,5.303528771056899,1427.96,268.97666666666663,1227.7462169628814,197.25761182327594,0.00023468924421776618,0.00024057247337332167,0.0,1,5,37,36,0.0,1,1,3,1.0,1.0,0,0,3.63921038023433e-07,1,0,0,0,1,0,legit
U001230,5,4,1.2,4602.27,3278.5,1323.7700000000004,1.403649946638207,920.4540000000001,819.625,779.41977908185,563.0259032007319,0.00023398556590202303,0.002077916930122367,0.027777777777777776,1,3,35,41,0.0,1,1,4,1.25,0.8,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U001591,4,3,1.25,3937.16,4520.7300000000005,-583.5700000000006,0.8709409894000746,984.29,1506.9099999999999,899.4883497855878,1689.960168662761,0.0016604502670471654,0.0015032442829121858,0.0,1,6,60,33,0.0,1,1,3,1.3333333333333333,0.75,0,0,0.0017375719926582935,1,0,0,0,1,0,legit
U001017,4,3,1.25,5328.95,31330.989999999998,-26002.039999999997,0.17011208033706127,1332.2375000000002,10443.663333333332,1761.895716669619,14391.608216219463,0.0003275702876720791,0.000781207139957782,0.0,1,6,35,41,0.0,1,1,3,1.3333333333333333,0.75,0,0,2.3841781731941314e-07,1,0,0,0,1,0,legit
U001082,4,5,0.8333333333333334,4742.1,3993.65,748.4500000000003,1.1873630981437673,1185.5249999999999,798.7299999999999,1829.9534234168366,1045.1159900604334,0.0003839939709495982,0.0009261179451127155,0.027777777777777776,1,5,10,37,0.0,1,1,4,0.8,1.25,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U001657,6,9,0.7,7540.0199999999995,32724.68,-25184.66,0.23043126987735624,1256.67,3636.075555555555,1517.0264485389391,5478.311234927768,0.0006153608373500959,0.0038944906107076563,0.009523809523809525,1,5,1,43,0.0,1,1,6,0.6666666666666666,1.5,0,0,2.183203307071731e-07,1,0,0,0,1,0,legit
U000219,5,7,0.75,4754.03,4436.63,317.39999999999964,1.071524665192907,950.8059999999999,633.8042857142856,1173.46785978313,523.6273941283368,0.00025413260870244306,0.0026981201617582748,0.0,1,5,2,48,0.0,1,1,5,0.7142857142857143,1.4,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U001811,6,7,0.875,8979.08,39839.11,-30860.03,0.22540299211021253,1496.5133333333333,5691.301428571429,1579.0750724782602,12312.237659109072,0.0005763293202043349,0.0034934479486945693,0.02564102564102564,1,5,42,52,0.0,1,1,6,0.8571428571428571,1.1666666666666667,0,0,2.183203307071731e-07,1,0,0,0,1,0,legit
U000699,8,3,2.25,30543.63,2883.0,27660.63,10.591064493758669,3817.95375,961.0,7415.186550889899,1180.7229693991164,0.0013193741377829126,0.0017624642972085105,0.0,1,5,38,18,0.0,1,1,3,2.6666666666666665,0.375,0,0,0.008131534966246176,1,0,0,0,1,0,legit
U000950,5,4,1.2,5697.2699999999995,786.26,4911.009999999999,7.238104311155145,1139.4540000000002,196.56499999999997,1396.7584448658258,142.88706423256096,0.0007045884668212873,0.0012603769357361699,0.0,1,4,52,10,0.5555555555555556,1,1,4,1.25,0.8,0,0,0.01588140886675932,1,0,0,1,2,1,legit
U001512,5,5,1.0,5425.43,2384.12,3041.3100000000004,2.2751182330448785,1085.086,476.82399999999996,1756.1972588134854,377.7766405483536,0.000279930958410804,0.00284969084341309,0.0,1,5,55,48,0.0,1,1,5,1.0,1.0,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U000303,3,7,0.5,796.69,14206.13,-13409.439999999999,0.056147159911959704,265.56333333333333,2029.447142857143,127.68073473403192,1671.9465202119893,0.00010593327055311414,0.0011037602749689353,0.0,1,6,55,48,0.0,1,1,3,0.42857142857142855,2.3333333333333335,0,0,2.4144598496933426e-07,1,0,0,0,1,0,legit
U001536,6,6,1.0,67584.81,1695.87,65888.94,39.82969231585213,11264.135,282.64500000000004,15589.271471088432,166.2715585771261,0.0004212286911047838,0.0013258649168538846,0.015151515151515152,1,5,37,36,0.0,1,1,6,1.0,1.0,0,0,1.7990617273782722e-07,1,0,0,0,1,0,legit
U000180,5,2,2.0,3120.79,518.1899999999999,2602.6,6.01280841310503,624.158,259.09499999999997,954.6905425403564,82.55499999999999,0.00011918402736979194,0.0007587635217319353,0.0,0,0,24,34,0.0,1,1,2,2.5,0.4,0,0,0.0034265933213466822,0,0,0,0,0,0,legit
L002310,4,1,2.5,103707.54000000001,100080.75,3626.790000000008,1.0362382752100159,25926.885000000002,100080.75,44524.48320634024,0.0,0.0005429759407739865,0.0007535753362358324,0.0,1,5,0,5,1.0,2,1,1,4.0,0.25,1,1,0.9121283904196944,1,0,0,1,2,1,circular_loop
U000439,6,11,0.5833333333333334,20967.41,34365.77,-13398.359999999997,0.6101361867874112,3494.568333333333,3124.1609090909087,5472.952380395846,7421.804027199433,0.0004897200195511294,0.0038791049217289895,0.008333333333333333,1,2,74,59,0.0,1,1,6,0.5454545454545454,1.8333333333333333,0,0,0.004428018382925084,1,0,0,0,1,0,legit
U001493,6,2,2.3333333333333335,1709.04,116.64,1592.3999999999999,14.536212172730364,284.84,58.32,148.51514569228286,0.5700000000000003,0.0001731476292478427,0.0007720532756339755,0.03571428571428571,1,5,42,52,0.0,1,1,2,3.0,0.3333333333333333,0,0,0.0010610698652515165,1,0,0,0,1,0,legit
U000151,6,4,1.4,7359.41,48809.19,-41449.78,0.1507965857129423,1226.5683333333334,12202.297499999999,1085.799439881612,13329.63303824673,0.0012113018014426214,0.005871769778826469,0.022222222222222223,1,5,74,59,0.0,1,1,4,1.5,0.6666666666666666,0,0,2.183203307071731e-07,1,0,0,0,1,0,legit
U000980,7,6,1.1428571428571428,29169.800000000003,4027.76,25142.04,7.2406397998391565,4167.114285714286,671.2933333333334,7713.495188758203,513.8174054294212,0.0007896458637149759,0.004052562064918935,0.01282051282051282,1,5,43,41,0.0,2,1,6,1.1666666666666667,0.8571428571428571,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U001246,36,6,5.285714285714286,78096.72,5286.16,72810.56,14.771204200364657,2169.353333333333,881.0266666666666,5727.040878179975,892.3988692034271,0.004612442898422961,0.010792835060991572,0.0023228803716608595,1,4,42,52,0.0,2,1,6,6.0,0.16666666666666666,0,0,0.005666694622349197,1,0,0,0,1,0,legit_merchant_hub
U000721,6,7,0.875,5408.969999999999,9399.18,-3990.210000000001,0.5755177028524985,901.4949999999999,1342.74,1041.9121191468116,1858.2701566395408,0.0009406009780579582,0.00284842073586908,0.0,1,5,1,43,0.0,1,1,6,0.8571428571428571,1.1666666666666667,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U001352,7,4,1.6,9067.19,3050.61,6016.58,2.9716084296486116,1295.3128571428572,762.6525,1611.9799314127804,871.2344833733051,0.0010998001220730318,0.003051690439525604,0.01818181818181818,1,4,1,43,0.0,1,1,4,1.75,0.5714285714285714,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U001035,5,8,0.6666666666666666,5739.04,8542.64,-2803.5999999999995,0.6718494693128456,1147.808,1067.83,1917.7352146675514,1391.7767190806865,0.00015808390811157595,0.0026465345954619435,0.0,1,5,13,64,0.0,1,1,5,0.625,1.6,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U001118,5,1,3.0,6083.8,304.67,5779.13,19.906435044328852,1216.7599999999998,304.67,1244.2328096300948,0.0,0.000224816633415861,0.00019250660940302533,0.0,0,0,43,41,0.0,1,0,1,5.0,0.2,0,0,1.839965326430307e-07,0,0,0,0,0,0,legit
U001930,8,3,2.25,40868.44,1310.33,39558.11,31.16640357499638,5108.555,436.77666666666664,11124.291004789922,52.083935036524345,0.0008981275357932918,0.0025455417777489075,0.0,1,4,51,21,0.0,1,1,3,2.6666666666666665,0.375,0,0,0.0008820166314930613,1,0,0,0,1,0,legit
U001776,7,3,2.0,9818.48,318.98,9499.5,30.687792987061687,1402.6399999999999,106.32666666666667,1743.2345565643195,59.873890432771745,0.00029662304174043585,0.0023112819454080553,0.0,1,6,14,26,0.0,1,1,3,2.3333333333333335,0.42857142857142855,0,0,2.251980977329197e-07,1,0,0,0,1,0,legit
U001734,6,4,1.4,47434.35,4393.4,43040.95,10.794499817950118,7905.724999999999,1098.35,12644.172381939106,1360.6198263107883,0.0007897980636852267,0.0018114664412051994,0.0,1,5,1,43,0.0,1,1,4,1.5,0.6666666666666666,0,0,1.7990617273782722e-07,1,0,0,0,1,0,legit
U000328,7,1,4.0,3757.77,147.16,3610.61,25.369667926565874,536.8242857142857,147.16,723.6387814344381,0.0,0.000261448720402293,0.0003995925024845318,0.0,1,6,58,31,0.0,1,0,1,7.0,0.14285714285714285,0,0,0.0008866362201015935,1,0,0,0,1,0,legit
U001775,5,7,0.75,2037.47,5080.139999999999,-3042.669999999999,0.4011835926583405,407.494,725.7342857142858,148.51454361105516,707.7640407621161,0.0002937679867568075,0.003125448219259025,0.0,1,4,42,52,0.0,1,1,5,0.7142857142857143,1.4,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U001161,9,8,1.1111111111111112,23334.219999999998,4055.7,19278.519999999997,5.752266620652254,2592.6911111111112,506.9625,3888.7014754440825,762.698834136876,0.0014031230505960365,0.0028216965986644534,0.007352941176470588,1,4,43,41,0.0,1,1,8,1.125,0.8888888888888888,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U001285,3,6,0.5714285714285714,611.7900000000001,42249.409999999996,-41637.619999999995,0.01450376457885261,203.93000000000004,7041.568333333334,212.25327198106194,13467.02374611829,0.00024951808459904327,0.0020314817828235286,0.027777777777777776,1,5,73,66,0.0,1,1,3,0.5,2.0,0,0,2.183203307071731e-07,1,0,0,0,1,0,legit
U000858,4,4,1.0,2856.2,9072.43,-6216.2300000000005,0.3148974533335243,714.05,2268.1075000000005,588.9484869239415,2116.507628882719,0.00038852039775252336,0.002285340394153326,0.0,1,5,27,19,0.0,1,1,4,1.0,1.0,0,0,2.4144598496933426e-07,1,0,0,0,1,0,legit
U001681,3,6,0.5714285714285714,1813.6399999999999,1256.8700000000001,556.7699999999998,1.4426292065157764,604.5466666666666,209.47833333333335,623.8223392565832,123.10516796851202,0.0001485529510412539,0.00090668341164441,0.0,1,5,3,37,0.0,1,1,2,0.5,2.0,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U000968,7,2,2.6666666666666665,28752.91,719.36,28033.55,39.91602809706258,4107.558571428572,359.68,9250.509920393468,180.39000000000001,0.0005114603873161492,0.0006309267708938497,0.0,1,4,65,21,0.0,1,1,2,3.5,0.2857142857142857,0,0,0.003623589807637151,1,0,0,0,1,0,legit
U000565,8,4,1.8,6269.09,5114.34,1154.75,1.2257425703863283,783.63625,1278.5850000000003,990.3797128492878,1177.0145137274221,0.0005954223491942781,0.0009715379117107409,0.0,1,6,6,35,0.0,1,1,4,2.0,0.5,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U000700,3,1,2.0,4825.4400000000005,4505.99,319.4500000000007,1.0708787905009776,1608.4800000000002,4505.99,1996.3890148465555,0.0,0.00016298858042394342,0.001204298639818502,0.0,0,0,74,59,0.0,1,0,1,3.0,0.3333333333333333,0,0,0.04246945606575422,0,0,0,0,0,0,legit
U000458,5,2,2.0,37912.07,4416.48,33495.59,8.582510843286219,7582.414,2208.24,13641.939940091512,1894.8799999999999,0.0005803442952655201,0.0009485285042228004,0.0,1,6,41,34,0.0,1,1,2,2.5,0.4,0,0,0.0013638068901876451,1,0,0,0,1,0,legit
U001049,12,6,1.8571428571428572,47260.990000000005,1065.32,46195.670000000006,44.32252044414435,3938.415833333334,177.5533333333333,10234.469315260447,196.77579429955867,0.000601301853712544,0.00681876938760564,0.006535947712418301,1,3,58,31,0.0,2,1,6,2.0,0.5,0,0,0.0011917856550105032,1,0,0,0,1,0,legit
U000256,3,6,0.5714285714285714,1015.04,1461.54,-446.5,0.6947092045345769,338.34666666666664,243.59,181.31852586600803,144.40005655585227,0.00039174949310827225,0.0014054450631640477,0.0,1,4,27,19,0.0,1,1,3,0.5,2.0,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U000076,6,5,1.1666666666666667,1562.02,4164.88,-2602.86,0.3751956369362536,260.33666666666664,832.976,107.00188404364144,1069.8259056986797,0.0003377844577167709,0.001646076461778009,0.01818181818181818,1,6,64,26,0.0,1,1,5,1.2,0.8333333333333334,0,0,2.665622203493319e-07,1,0,0,0,1,0,legit
U001236,5,5,1.0,2865.86,50163.08,-47297.22,0.05714965768334633,573.172,10032.616,770.3826539168701,16601.603092709574,0.00020790413987092357,0.0010796793483326297,0.022222222222222223,1,5,50,33,0.0,1,1,4,1.0,1.0,0,0,2.183203307071731e-07,1,0,0,0,1,0,legit
U000126,2,3,0.75,1632.48,910.3199999999999,722.1600000000001,1.7924329543958215,816.24,303.44,564.32,117.07590956298397,8.351190023147947e-05,0.00038185390158312254,0.1,1,5,50,33,0.0,1,1,2,0.6666666666666666,1.5,0,0,0.013601699750941268,1,0,0,0,1,0,legit
